08/30/2016 02:05:39 PM n_total 10 n_fib 10, n_fob 0, n_fsc 0
08/30/2016 02:11:30 PM n_total 39186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:31 PM n_total 39314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:32 PM n_total 39442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:33 PM n_total 39570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:34 PM n_total 39698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:35 PM n_total 39826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:36 PM n_total 39954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:37 PM n_total 40082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:38 PM n_total 40210 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:39 PM n_total 40338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:40 PM n_total 40466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:41 PM n_total 40594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:42 PM n_total 40722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:43 PM n_total 40850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:44 PM n_total 40978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:45 PM n_total 41106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:46 PM n_total 41234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:47 PM n_total 41362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:48 PM n_total 41490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:49 PM n_total 41618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:50 PM n_total 41746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:51 PM n_total 41874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:52 PM n_total 42002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:53 PM n_total 42130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:54 PM n_total 42258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:55 PM n_total 42386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:56 PM n_total 42514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:57 PM n_total 42642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:58 PM n_total 42770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:59 PM n_total 42898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:00 PM n_total 43026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:01 PM n_total 43154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:02 PM n_total 43282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:03 PM n_total 43410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:04 PM n_total 43538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:05 PM n_total 43666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:06 PM n_total 43794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:07 PM n_total 43922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:08 PM n_total 44050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:09 PM n_total 44178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:10 PM n_total 44306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:11 PM n_total 44434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:12 PM n_total 44562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:13 PM n_total 44690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:14 PM n_total 44818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:15 PM n_total 44946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:16 PM n_total 45074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:17 PM n_total 45202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:18 PM n_total 45330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:19 PM n_total 45458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:20 PM n_total 45586 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:21 PM n_total 45714 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:22 PM n_total 45842 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:23 PM n_total 45970 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:24 PM n_total 46098 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:25 PM n_total 46226 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:26 PM n_total 46354 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:27 PM n_total 46482 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:28 PM n_total 46610 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:29 PM n_total 46738 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:30 PM n_total 46866 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:31 PM n_total 46994 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:32 PM n_total 47122 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:33 PM n_total 47250 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:34 PM n_total 47378 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:35 PM n_total 47506 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:36 PM n_total 47634 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:37 PM n_total 47762 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:38 PM n_total 47890 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:39 PM n_total 48018 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:40 PM n_total 48146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:41 PM n_total 48274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:42 PM n_total 48402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:43 PM n_total 48530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:44 PM n_total 48658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:45 PM n_total 48786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:46 PM n_total 48914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:47 PM n_total 49042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:48 PM n_total 49170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:49 PM n_total 49298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:50 PM n_total 49426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:51 PM n_total 49554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:52 PM n_total 49682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:53 PM n_total 49810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:54 PM n_total 49938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:55 PM n_total 50066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:56 PM n_total 50194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:57 PM n_total 50322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:58 PM n_total 50450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:12:59 PM n_total 50578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:00 PM n_total 50706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:01 PM n_total 50834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:02 PM n_total 50962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:03 PM n_total 51090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:04 PM n_total 51218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:05 PM n_total 51346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:06 PM n_total 51474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:07 PM n_total 51602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:08 PM n_total 51730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:09 PM n_total 51858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:10 PM n_total 51986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:11 PM n_total 52114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:12 PM n_total 52242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:13 PM n_total 52370 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:14 PM n_total 52498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:15 PM n_total 52626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:16 PM n_total 52754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:17 PM n_total 52882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:18 PM n_total 53010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:19 PM n_total 53138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:20 PM n_total 53266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:21 PM n_total 53394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:22 PM n_total 53522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:23 PM n_total 53650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:24 PM n_total 53778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:25 PM n_total 53906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:26 PM n_total 54034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:27 PM n_total 54162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:28 PM n_total 54290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:29 PM n_total 54418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:30 PM n_total 54546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:31 PM n_total 54674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:32 PM n_total 54802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:33 PM n_total 54930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:34 PM n_total 55058 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:35 PM n_total 55186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:36 PM n_total 55314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:37 PM n_total 55442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:38 PM n_total 55570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:39 PM n_total 55698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:40 PM n_total 55826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:41 PM n_total 55954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:42 PM n_total 56082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:43 PM n_total 56210 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:44 PM n_total 56338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:45 PM n_total 56466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:46 PM n_total 56594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:47 PM n_total 56722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:48 PM n_total 56850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:49 PM n_total 56978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:50 PM n_total 57106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:51 PM n_total 57234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:52 PM n_total 57362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:53 PM n_total 57490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:54 PM n_total 57618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:55 PM n_total 57746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:56 PM n_total 57874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:57 PM n_total 58002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:58 PM n_total 58130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:13:59 PM n_total 58258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:00 PM n_total 58386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:01 PM n_total 58514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:02 PM n_total 58642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:03 PM n_total 58770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:04 PM n_total 58898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:05 PM n_total 59026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:06 PM n_total 59154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:07 PM n_total 59282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:08 PM n_total 59410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:09 PM n_total 59538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:10 PM n_total 59666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:11 PM n_total 59794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:12 PM n_total 59922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:13 PM n_total 60050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:14 PM n_total 60178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:15 PM n_total 60306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:16 PM n_total 60434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:17 PM n_total 60562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:18 PM n_total 60690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:19 PM n_total 60818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:20 PM n_total 60946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:21 PM n_total 61074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:22 PM n_total 61202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:23 PM n_total 61330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:24 PM n_total 61458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:25 PM n_total 61586 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:26 PM n_total 61714 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:27 PM n_total 61842 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:28 PM n_total 61970 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:29 PM n_total 62098 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:30 PM n_total 62226 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:31 PM n_total 62354 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:32 PM n_total 62482 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:33 PM n_total 62610 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:34 PM n_total 62738 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:35 PM n_total 62866 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:36 PM n_total 62994 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:37 PM n_total 63122 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:38 PM n_total 63250 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:39 PM n_total 63378 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:40 PM n_total 63506 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:41 PM n_total 63634 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:42 PM n_total 63762 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:43 PM n_total 63890 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:44 PM n_total 64018 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:45 PM n_total 64146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:46 PM n_total 64274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:47 PM n_total 64402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:48 PM n_total 64530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:49 PM n_total 64658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:50 PM n_total 64786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:51 PM n_total 64914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:52 PM n_total 65042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:53 PM n_total 65170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:54 PM n_total 65298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:55 PM n_total 65426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:56 PM n_total 65554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:57 PM n_total 65682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:58 PM n_total 65810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:14:59 PM n_total 65938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:00 PM n_total 66066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:01 PM n_total 66194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:02 PM n_total 66322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:03 PM n_total 66450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:04 PM n_total 66578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:05 PM n_total 66706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:06 PM n_total 66834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:07 PM n_total 66962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:08 PM n_total 67090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:09 PM n_total 67218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:10 PM n_total 67346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:11 PM n_total 67474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:12 PM n_total 67602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:13 PM n_total 67730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:14 PM n_total 67858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:15 PM n_total 67986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:16 PM n_total 68114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:17 PM n_total 68242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:18 PM n_total 68370 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:19 PM n_total 68498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:20 PM n_total 68626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:21 PM n_total 68754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:22 PM n_total 68882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:23 PM n_total 69010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:24 PM n_total 69138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:25 PM n_total 69266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:26 PM n_total 69394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:27 PM n_total 69522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:28 PM n_total 69650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:29 PM n_total 69778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:30 PM n_total 69906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:31 PM n_total 70034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:32 PM n_total 70162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:33 PM n_total 70290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:34 PM n_total 70418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:35 PM n_total 70546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:36 PM n_total 70674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:37 PM n_total 70802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:38 PM n_total 70930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:39 PM n_total 71058 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:40 PM n_total 71186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:41 PM n_total 71314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:42 PM n_total 71442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:43 PM n_total 71570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:44 PM n_total 71698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:45 PM n_total 71826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:46 PM n_total 71954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:47 PM n_total 72082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:48 PM n_total 72210 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:49 PM n_total 72338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:50 PM n_total 72466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:51 PM n_total 72594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:52 PM n_total 72722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:53 PM n_total 72850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:54 PM n_total 72978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:55 PM n_total 73106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:56 PM n_total 73234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:57 PM n_total 73362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:58 PM n_total 73490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:15:59 PM n_total 73618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:00 PM n_total 73746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:01 PM n_total 73874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:02 PM n_total 74002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:03 PM n_total 74130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:04 PM n_total 74258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:05 PM n_total 74386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:06 PM n_total 74514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:07 PM n_total 74642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:08 PM n_total 74770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:09 PM n_total 74898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:10 PM n_total 75026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:11 PM n_total 75154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:12 PM n_total 75282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:13 PM n_total 75410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:14 PM n_total 75538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:15 PM n_total 75666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:16 PM n_total 75794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:17 PM n_total 75922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:18 PM n_total 76050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:19 PM n_total 76178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:20 PM n_total 76306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:21 PM n_total 76434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:22 PM n_total 76562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:23 PM n_total 76690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:24 PM n_total 76818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:25 PM n_total 76946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:26 PM n_total 77074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:27 PM n_total 77202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:28 PM n_total 77330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:29 PM n_total 77458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:30 PM n_total 77586 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:31 PM n_total 77714 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:32 PM n_total 77842 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:33 PM n_total 77970 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:34 PM n_total 78098 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:35 PM n_total 78226 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:36 PM n_total 78354 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:37 PM n_total 78482 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:38 PM n_total 78610 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:39 PM n_total 78738 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:40 PM n_total 78866 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:41 PM n_total 78994 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:42 PM n_total 79122 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:43 PM n_total 79250 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:44 PM n_total 79378 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:45 PM n_total 79506 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:16:46 PM n_total 79634 n_fib 128, n_fob 0, n_fsc 0
